Time,Position,Velocity,Angle,Voltage,Current
4.076434999999999,-1.0,0.0,98.94827586206897,0.0,0.125
4.101365,-1.0,0.0,98.94827586206897,0.0,0.125
4.128225,-1.0,0.0,98.94827586206897,0.0,0.125
4.160806,0.0,0.0,99.0,0.0,0.125
4.183236,-1.0,0.0,98.94827586206897,0.0,0.125
4.19817,0.0,0.0,99.0,0.0,0.125
4.217109999999999,1.0,0.0,99.05172413793103,0.0,0.125
4.255876999999999,0.0,0.0,99.0,0.0,0.125
4.2768939999999995,0.0,0.0,99.0,0.0,0.125
4.2965279999999995,1.0,0.0,99.05172413793103,0.0,0.125
4.318974,0.0,0.0,99.0,0.0,0.125
4.337347,0.0,0.0,99.0,0.0,0.125
4.356034,1.0,0.0,99.05172413793103,0.0,0.125
4.3779580000000005,0.0,0.0,99.0,0.0,0.125
4.400303999999999,-1.0,0.0,98.94827586206897,0.0,0.125
4.423251,-1.0,0.0,98.94827586206897,0.0,0.125
4.458141,1.0,0.0,99.05172413793103,0.0,0.125
4.486114999999999,0.0,0.0,99.0,0.0,0.125
4.511964999999999,0.0,0.0,99.0,0.0,0.125
4.543836999999999,0.0,0.0,99.0,0.0,0.125
4.56256,0.0,0.0,98.94827586206897,0.0,0.125
4.593175,1.0,0.0,99.05172413793103,0.0,0.125
4.619343,0.0,0.0,99.0,0.0,0.125
4.642884,1.0,0.0,99.05172413793103,0.0,0.125
4.6615720000000005,0.0,0.0,99.0,0.0,0.125
4.677969999999999,0.0,0.0,99.0,0.0,0.125
4.7013679999999995,0.0,0.0,99.0,0.0,0.125
4.728328,-2.0,0.0,98.89655172413794,0.0,0.125
4.754919,0.0,0.0,99.0,0.0,0.125
4.7823970000000005,0.0,0.0,99.05172413793103,0.0,0.125
4.8110740000000005,0.0,0.0,99.0,0.0,0.125
4.837611999999999,0.0,0.0,99.0,0.0,0.125
4.863325000000001,0.0,0.0,99.0,0.0,0.125
4.89285,0.0,0.0,99.0,0.0,0.125
4.916609,0.0,0.0,99.0,0.0,0.125
4.939131000000001,0.0,0.0,99.0,0.0,0.125
4.960204,0.0,0.0,99.0,0.0,0.125
